Bac,Rep,%inhibition,
BMKM003,1,60.00,
BMKM003,2,60.00,
BMKM003,3,60.00,
BMKM005,1,64.00,
BMKM005,2,61.54,
BMKM005,3,64.15,
BMKM008,1,60.00,
BMKM008,2,61.11,
BMKM008,3,61.82,
BMKM014,1,60.00,
BMKM014,2,60.00,
BMKM014,3,61.82,
BMKM020,1,58.18,
BMKM020,2,58.18,
BMKM020,3,58.18,
BMKM021,1,61.82,
BMKM021,2,61.82,
BMKM021,3,61.82,
BMKM023,1,61.11,
BMKM023,2,61.11,
BMKM023,3,61.82,
BMKM025,1,60.00,
BMKM025,2,61.82,
BMKM025,3,61.82,
BMKM027,1,36.36,
BMKM027,2,36.36,
BMKM027,3,38.18,
BNBP003,1,65.45,
BNBP003,2,61.82,
BNBP003,3,61.82,
BNBP004,1,38.18,
BNBP004,2,36.36,
BNBP004,3,36.36,
BNKI003,1,65.45,
BNKI003,2,65.45, 
BNKI003,3,63.64,
BNKI007,1,59.62,
BNKI007,2,66.04,
BNKI007,3,64.00,
BNKI017,1,61.82,
BNKI017,2,58.18,
BNKI017,3,58.18,
BNKI019,1,61.82,
BNKI019,2,60.00,
BNKI019,3,60.00,
BNKI023,1,38.18,
BNKI023,2,38.18,
BNKI023,4,36.36,
BUDN017,1,64.00,
BUDN017,2,69.81,
BUDN017,4,69.23,
BUDN022,1,63.64,
BUDN022,2,61.82,
BUDN022,3,61.82,
BUDN023,1,36.36,
BUDN023,2,36.36,
BUDN023,3,36.36,
BUDN025,1,67.27,
BUDN025,2,65.45,
BUDN025,3,65.45,
BUDN027,1,64.71,
BUDN027,2,68.00,
BUDN027,3,67.31,
BUDN028,1,65.45,
BUDN028,2,65.45,
BUDN028,3,63.64,
BUDN036,1,36.36,
BUDN036,2,36.36,
BUDN036,3,36.36,
BUDN041,1,36.36,
BUDN041,2,36.36,
BUDN041,3,36.36,
BSKN061,1,43.64,
BSKN061,2,38.18,
BSKN061,3,37.04,
BSKN077,1,58.18,
BSKN077,2,59.26,
BSKN077,3,57.41,
BSKN079,1,65.45,
BSKN079,2,65.45,
BSKN079,3,65.45,
BSKN116,1,62.96,
BSKN116,2,62.96,
BSKN116,3,62.96,
BMDH010,1,61.82,
BMDH010,2,60.00,
BMDH010,3,60.00,
BKLS011,1,45.45,
BKLS011,2,45.45,
BKLS011,3,45.45,
BKLS015,1,57.41,
BKLS015,2,57.41,
BKLS015,3,57.41,
BKLS018,1,63.64,
BKLS018,2,63.64,
BKLS018,3,65.45,
BKLS020,1,62.96,
BKLS020,2,62.96,
BKLS020,3,63.64,
BKLS021,1,65.45,
BKLS021,2,65.45,
BKLS021,3,63.64,
BKLS024,1,38.18,
BKLS024,2,36.36,
BKLS024,3,36.36,
BBKN006,1,30.36,
BBKN006,2,32.73,
BBKN006,3,34.55,
BSKN074,1,46.30,
BSKN074,2,50.88,
BSKN074,3,51.79,
BNPM023,1,58.00,
BNPM023,2,60.78,
BNPM023,3,61.11,
BKLS003,1,60.00,
BKLS003,2,56.00,
BKLS003,3,55.56,
BLEI004,1,27.27,
BLEI004,2,25.93,
BLEI004,3,27.27,
BLEI007,1,35.19,
BLEI007,2,30.00,
BLEI007,3,36.36,
